Feature,Non_Diabetes,Diabetes
HighBP,0.37424319583545523,0.7526735698523171
HighChol,0.38128784020822726,0.6701182594918803
CholCheck,0.9573360493408024,0.9931816895829797
BMI,27.769959825722854,31.94401063769592
Smoker,0.4323261472302382,0.5182198834380128
Stroke,0.03188479601652238,0.09245742092457421
HeartDiseaseorAttack,0.07273807502970633,0.22288236292649805
PhysActivity,0.77553329938324,0.6305381089797997
Fruits,0.638148588241951,0.5854410682962712
Veggies,0.8211395914672098,0.7564080801222204
HvyAlcoholConsump,0.06190233689809314,0.02353873139817801
AnyHealthcare,0.9501499462456855,0.9597691393651333
NoDocbcCost,0.08196118372658859,0.10586770780286313
GenHlth,2.383183387087648,3.290980591863294
MentHlth,3.042267866236632,4.461806144966899
PhysHlth,3.666355457477508,7.954478583149437
DiffWalk,0.13424432750523396,0.37121597917727606
Sex,0.434872404232445,0.4791206925819046
Age,7.789056753239405,9.379052792395179
Education,5.09638997340576,4.74551575850167
Income,6.186527471283879,5.210094494426526
