Feature,Test,Statistic,P_value,Significant
BMI,T-test,-81.59089746755323,0.0,*
HighBP,Chi-square,10287.972984997781,0.0,*
HighChol,Chi-square,5911.8066998822505,0.0,*
PhysActivity,Chi-square,1778.9607035956992,0.0,*
HeartDiseaseorAttack,Chi-square,3161.7202445322782,0.0,*
GenHlth,Chi-square,12304.31897990353,0.0,*
DiffWalk,Chi-square,5253.694843161374,0.0,*
PhysHlth,Chi-square,3683.494758377219,0.0,*
Age,Chi-square,6179.057132257293,0.0,*
Education,Chi-square,2132.272551584347,0.0,*
Income,Chi-square,3855.4545755623435,0.0,*
Stroke,Chi-square,1111.0793074560897,1.2908370989220163e-243,*
CholCheck,Chi-square,939.6317718798654,2.3798712773418192e-206,*
HvyAlcoholConsump,Chi-square,635.0865339749427,3.9133962745676324e-140,*
MentHlth,Chi-square,655.0524233714106,1.1197494760160407e-118,*
Smoker,Chi-square,522.4810772937883,1.2211053080400827e-115,*
Veggies,Chi-square,444.0806516898606,1.4007103685991128e-98,*
Fruits,Chi-square,206.50090830615105,7.967064756507964e-47,*
Sex,Chi-square,139.26185542886512,3.860395909809483e-32,*
NoDocbcCost,Chi-square,118.4167174482265,1.4053255735064045e-27,*
AnyHealthcare,Chi-square,37.79561046998934,7.855833890083924e-10,*
