Feature,Non_Diabetes,Diabetes
HighBP,0.37660190350563816,0.7526735698523171
HighChol,0.3842965364991252,0.6701182594918803
CholCheck,0.9577299000613738,0.9931816895829797
BMI,27.80577005871738,31.94401063769592
Smoker,0.431018531241126,0.5182198834380128
Stroke,0.032170894134674395,0.09245742092457421
HeartDiseaseorAttack,0.07335092106588988,0.22288236292649805
PhysActivity,0.7769426658239211,0.6305381089797997
Fruits,0.6421583445546731,0.5854410682962712
Veggies,0.8203257394633909,0.7564080801222204
HvyAlcoholConsump,0.06148378172891075,0.02353873139817801
AnyHealthcare,0.9496413751408392,0.9597691393651333
NoDocbcCost,0.08066540254838916,0.10586770780286313
GenHlth,2.3851850834043256,3.290980591863294
MentHlth,2.978033654859069,4.461806144966899
PhysHlth,3.6410820119633223,7.954478583149437
DiffWalk,0.13536141874375957,0.37121597917727606
Sex,0.4340643234677146,0.4791206925819046
Age,7.814064689878809,9.379052792395179
Education,5.099796641842315,4.74551575850167
Income,6.19047422755961,5.210094494426526
