,Diabetes_binary
GenHlth,0.29356906307871694
HighBP,0.26312878992336486
DiffWalk,0.21834435192101745
BMI,0.2168430602031178
HighChol,0.2002761918791174
Age,0.17744187216726115
HeartDiseaseorAttack,0.17728225780720455
PhysHlth,0.1713367003872558
Stroke,0.10581606726811532
MentHlth,0.0693150826383547
CholCheck,0.06476081015893599
Smoker,0.0607885056403422
NoDocbcCost,0.03143276335925908
Sex,0.031429998020681485
AnyHealthcare,0.016255139545865667
Fruits,-0.04077922810406582
Veggies,-0.056584137064161606
HvyAlcoholConsump,-0.05705625612168196
PhysActivity,-0.11813311489591297
Education,-0.12445596921587981
Income,-0.16391878680098976
