Feature,Test,Statistic,P_value,Significant
BMI,T-test,-111.87814193117426,0.0,*
HighBP,Chi-square,17562.446089970756,0.0,*
HighChol,Chi-square,10174.074889118883,0.0,*
Stroke,Chi-square,2838.91654723932,0.0,*
PhysActivity,Chi-square,3539.4193699366724,0.0,*
HeartDiseaseorAttack,Chi-square,7971.155840643359,0.0,*
DiffWalk,Chi-square,12092.319740590498,0.0,*
GenHlth,Chi-square,22728.069055166736,0.0,*
Age,Chi-square,8795.050613599169,0.0,*
Education,Chi-square,4027.112281861301,0.0,*
Income,Chi-square,7003.715090707579,0.0,*
PhysHlth,Chi-square,8078.527634674018,0.0,*
MentHlth,Chi-square,1452.0954401640256,6.353743083595497e-287,*
CholCheck,Chi-square,1062.9381436620106,3.75139887891887e-233,*
Smoker,Chi-square,937.0557592033365,8.640171809942516e-206,*
HvyAlcoholConsump,Chi-square,825.1187559262196,1.8659318101056406e-181,*
Veggies,Chi-square,811.8059748359335,1.4630291539062376e-178,*
Fruits,Chi-square,421.61153890191144,1.0881213885155634e-93,*
Sex,Chi-square,250.4136677541282,2.1098747365768505e-56,*
NoDocbcCost,Chi-square,250.3137525738294,2.218395410122378e-56,*
AnyHealthcare,Chi-square,66.81237194302645,2.986181073970452e-16,*
